TICK: 000000 | PC: 00000 | STEP: 0 | IR: jmp 5 | A: 0 | AR: 0 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [] | RS: [] | MEM: - | LATCH: IR | OUT: '' | fetch jmp 5
TICK: 000001 | PC: 00005 | STEP: 0 | IR: jmp 5 | A: 0 | AR: 0 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [] | RS: [] | MEM: - | LATCH: PC,IR.clear | OUT: '' | jmp 5
TICK: 000002 | PC: 00005 | STEP: 0 | IR: literal 0 | A: 0 | AR: 0 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [] | RS: [] | MEM: - | LATCH: IR | OUT: '' | fetch literal 0
TICK: 000003 | PC: 00010 | STEP: 0 | IR: literal 0 | A: 0 | AR: 0 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [0] | RS: [] | MEM: - | LATCH: DS.push,PC,IR.clear | OUT: '' | literal 0
TICK: 000004 | PC: 00010 | STEP: 0 | IR: store 1 | A: 0 | AR: 0 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [0] | RS: [] | MEM: - | LATCH: IR | OUT: '' | fetch store 1
TICK: 000005 | PC: 00010 | STEP: 1 | IR: store 1 | A: 0 | AR: 1 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [0] | RS: [] | MEM: - | LATCH: AR | OUT: '' | store.addr 1
TICK: 000006 | PC: 00015 | STEP: 0 | IR: store 1 | A: 0 | AR: 1 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [] | RS: [] | MEM: write mem[1] <- 0 | LATCH: MEM,PC,IR.clear | OUT: '' | store.write
TICK: 000007 | PC: 00015 | STEP: 0 | IR: literal 0 | A: 0 | AR: 1 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [] | RS: [] | MEM: - | LATCH: IR | OUT: '' | fetch literal 0
TICK: 000008 | PC: 00020 | STEP: 0 | IR: literal 0 | A: 0 | AR: 1 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [0] | RS: [] | MEM: - | LATCH: DS.push,PC,IR.clear | OUT: '' | literal 0
TICK: 000009 | PC: 00020 | STEP: 0 | IR: store 2 | A: 0 | AR: 1 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [0] | RS: [] | MEM: - | LATCH: IR | OUT: '' | fetch store 2
TICK: 000010 | PC: 00020 | STEP: 1 | IR: store 2 | A: 0 | AR: 2 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [0] | RS: [] | MEM: - | LATCH: AR | OUT: '' | store.addr 2
TICK: 000011 | PC: 00025 | STEP: 0 | IR: store 2 | A: 0 | AR: 2 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [] | RS: [] | MEM: write mem[2] <- 0 | LATCH: MEM,PC,IR.clear | OUT: '' | store.write
TICK: 000012 | PC: 00025 | STEP: 0 | IR: literal 0 | A: 0 | AR: 2 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [] | RS: [] | MEM: - | LATCH: IR | OUT: '' | fetch literal 0
TICK: 000013 | PC: 00030 | STEP: 0 | IR: literal 0 | A: 0 | AR: 2 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [0] | RS: [] | MEM: - | LATCH: DS.push,PC,IR.clear | OUT: '' | literal 0
TICK: 000014 | PC: 00030 | STEP: 0 | IR: store 3 | A: 0 | AR: 2 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [0] | RS: [] | MEM: - | LATCH: IR | OUT: '' | fetch store 3
TICK: 000015 | PC: 00030 | STEP: 1 | IR: store 3 | A: 0 | AR: 3 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [0] | RS: [] | MEM: - | LATCH: AR | OUT: '' | store.addr 3
TICK: 000016 | PC: 00035 | STEP: 0 | IR: store 3 | A: 0 | AR: 3 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [] | RS: [] | MEM: write mem[3] <- 0 | LATCH: MEM,PC,IR.clear | OUT: '' | store.write
